,name,abv,ibu,target_fg,target_og,ebc,srm,ph
0,Galaxy,6.699999809265137,67.0,1064,1013,19.0,9.5,4.400000095367432
1,10 Heads High,7.800000190734863,70.0,1015,1074,90.0,45.0,4.400000095367432
2,Lumberjack Stout,15.199999809265137,20.0,1020,1110,158.0,79.0,4.400000095367432
3,Neon Overlord,7.599999904632568,70.0,1012,1067,20.0,10.0,4.400000095367432
4,Ship Wreck,13.800000190734863,60.0,1015,1088,25.0,13.0,4.400000095367432
5,Crew Brew,8.0,100.0,1011,1072,28.0,14.199999809265137,5.199999809265137
7,Movember,4.5,50.0,1012,1047,140.0,70.0,5.199999809265137
8,Sunmaid Stout,10.199999809265137,50.0,1102,1026,197.0,100.0,4.400000095367432
9,AB:07,12.5,30.0,1020,1106,84.0,42.0,5.599999904632568
10,Cocoa Psycho,10.0,85.0,1012,1098,30.0,15.25,4.400000095367432
11,Prototype Double IPA,8.5,60.0,1007,1073,15.0,8.0,4.199999809265137
12,Paradox Islay 2018,13.5,100.0,1015,1112,300.0,152.0,4.400000095367432
13,Restorative Beverage For Invalids And Convalescents,8.5,100.0,1003,1068,15.0,7.5,4.400000095367432
14,Stereo Wolf Stout - Prototype Challenge,5.199999809265137,55.0,1014,1052,200.0,100.0,5.199999809265137
